"description"|"postion"|"posted"|"salary"|"location"|"contract"|"company"|"company_type"|"industry"
"J.P. Morgan's Corporate & Investment Bank (CIB) is a leader across banking, markets and investor services. The world's most important corporations, governments and institutions entrust us with their business in more than a hundred countries.Digital Experience  Design, our global CIB design team of 125+ designers in 7 locations plays a key role in building customer-centric products and services for both clients and employees.Job Description Do you want to improve client experience at scale by measuring the behaviours,  beliefs, and attitudes of Corporate and Investment Banking clients? We are looking for a creative, resourceful, and organized Behavioural Research Scientist in Digital Experience Design's Client Experience Measurement team.Part of Corporate and Investment  Banking, the Digital Experience Design organization's mission is to improve the experience of external clients and internal users across a broad variety of complex, essential, and high-value product and service journeys. The Client Experience Measurement program  contributes to this mission using quantitative research to provide the data required to make key design and investment decisions.As a quantitative behavioural researcher, you will work closely across design, product, and technology teams to better understand  our clients. You will be asked to help partners develop meaningful and relevant research questions, and in answering those questions with a variety of input data sources, to deliver concrete, actionable client experience recommendations. In addition to analysing  data to answer individual research questions, you must be able to connect data with design decisions, collaborating closely to ensure the relevance and impact of your work to business stakeholders.You will be expected to be a subject matter expert in measurement  and quantitative analysis of behavioural and/or survey response data, with the ability to communicate highly complex findings to multiple audiences. You may come from one of a variety of backgrounds (e.g. psychology, HCI, economics, epidemiology, among others)  but you must be comfortable with the complete research workflow, from research design to statistical analysis to reporting, and you must have some experience with quantitative behavioural and/or attitudinal data.Successful candidates will take iterative approaches  to tackling big, long-term problems and show the ability to apply expertise in social science methodology, earn trust with partner teams from non-statistical backgrounds, understand the right level of statistical complexity to fit the research questions and  existing resource constraints, be willing to experiment and learn from what works, and communicate scientific approaches to a variety of stakeholders.Key Responsibilities - Provide expertise in applied social science research - Partner with a variety of teams  to: o collaboratively identify client experience outcomes and key research questions o make methodological recommendations for data collection and analysis o develop and execute statistical analysis plans to answer key questions across multiple data sources  o make recommendations for design based on quantitative analysis results - Contribute to scalable process recommendations to build a larger culture of data-driven decision-making - Lead a team of quantitative researchers, to achieve team and program goalsBasic  Qualifications - MS in a quantitative social science discipline (e.g. psychology, economics, HCI, learning science, sociology, epidemiology) - Significant experience conducting large-scale applied research including analysis of human behaviour and/or survey  data - Advanced statistics (factor analysis, SEM, causal modelling, multilevel regression, regularized regression, etc.) - although we don't expect candidates to have expertise across methods, the successful candidate should be fluent with at least two methods  and be comfortable acquiring new methods with training and practice - Proficiency in at least one statistics program (Python, SPSS, R, SAS), Python strongly preferredPreferred Qualifications - PhD in a quantitative social science discipline (e.g. psychology,  economics, HCI, learning science, sociology, epidemiology) - Experiences with SQL or related query languages, data management, data warehousing - Experience converting research studies into tangible, real-world changes - Experience communicating complex technical  information for non-technical audience"|"VP Quantitative Behavioural Researcher - CIB Digital Experience Design - London - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Marketing And Media"
"Description About this role BlackRock is one of the world's pre-eminent asset management firms and a premier provider of global investment management, risk management and advisory services to institutional, intermediary and individual investors around  the world. BlackRock offers a range of solutions - from rigorous fundamental and quantitative active management approaches aimed at maximizing outperformance to highly efficient indexing strategies designed to gain broad exposure to the world's capital markets.  Our clients can access our investment solutions through a variety of product structures, including individual and institutional separate accounts, mutual funds and other pooled investment vehicles, and the industry-leading iShares® ETFs. Business Unit Overview:  Fundamental Equities sits within BlackRock's Portfolio Management Group (PMG), which encompasses Fundamental and Systematic investing across Fixed Income, Equities and Multi-Asset Strategies. The Fundamental Equities business is a key division at BlackRock  with over $170bn of assets under management, across 90+ strategies and over 200+ investment professionals. The Fundamental Equities teams (FE) use traditional analytics to pick stocks and assemble coherent, deliberate and diversified portfolios. Through cutting  edge technology, sophisticated models and embedded research, our investment management approach provides superior performance for our clients and is an important part of the BlackRock brand. Team Details: The European Equity team is responsible for managing  over USD33billion of assets across a number of different strategies. The team is based in London and Edinburgh, and uses a bottom-up, team-based, fundamental research process. Individual security research is conducted within a sector/pod driven framework to  deliver investment ideas to a broad range of funds with different investment styles, including both long only and hedge funds. Research and portfolio management are closely integrated. The team consists of 17 investors including a data scientist supported  by 5 product specialists and 4 Core PMs. The team has an outstanding track record of generating alpha. Job Purpose/Background: We are seeking an Analyst to sit within the European Equity team to cover the technology sector and contribute both long and short  alpha generating ideas across the range of funds that we manage. Working closely with other members of the investment team, this individual will need strong communication skills and a flexible approach to investment and managing workload. The Analyst will  conduct independent research (attend company meetings, conferences as required) and be able to utilize all available internal and external resources efficiently, to build high conviction investment ideas on a timely basis. Key Responsibilities: Conduct fundamental  research on the technology sector, including corporate financial analysis, meeting management, industry analysis, conferences, and interactions across BlackRock equity teams. Generate long-term, high conviction investment ideas for concentrated portfolios  with particular focus on strong business models, compounding returns and reliable cash flows. Contribute to the team's discussions of individual ideas, setting conviction within the wider research group and hence impacting portfolio strategies. This analyst  should also be able to produce comprehensive and high-quality research with clearly laid out investment conclusions on actionable ideas. Skills / Competencies / Experience: Experienced analyst with at least 5 years relevant experience covering the technology  sector in Europe and an excellent understanding of global technology trends. Excellent numerical and analytical skills in financial modelling of companies from working on the buy/sell side or from an accountancy background. Detailed knowledge across the technology  sector, both on a bottom up and top down basis and how it is impacting companies within it. Bottom-up stock picker with track record of Alpha generation. This analyst will be highly motivated, an independent and critical thinker. Ability to use big data alongside  our data scientist and a good understanding of ESG influence and impact across sector. Macro / top-down awareness and anticipation of changes in sector leadership. Passion for investing and team player with successful experience working both independently  and as part of a team in a fast-paced, entrepreneurial environment. Our benefits To help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support  for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about. About BlackRock BlackRock's purpose is to help more and more people experience financial well-being. As a fiduciary to investors and a leading  provider of financial technology, we help millions of people build savings that serve them throughout their lives by making investing easier and more affordable. For additional information on BlackRock, please visit corporate | Twitter: @blackrock | LinkedIn:  company/blackrock BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran  status, and other statuses protected by law. BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law."|"Director or VP, Fundamental Equities Research Analyst, European Technology sector - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Financial Services"
"Macro Quant Researcher Our client develops and deploys systematic financial strategies across a variety of asset classes and global markets. They seek to produce high-quality trading signals (Alphas) through their proprietary research platform to employ  trading strategies focused on exploiting market inefficiencies. The teams work collaboratively to drive the production of Alphas and financial strategies - the foundation of a sustainable, global trading platform. Research is at the core of the firm. Through  rigorous exploration and unconstrained thinking about how to apply data to the financial markets, their researchers are in constant search of new Alphas. They strive to understand data in ways competitors don't believe is possible. Researchers employ tested  processes seeking to identify Alphas that they believe are undiscovered by the wider market. These signals are mathematical expressions of data that are used as inputs in their quantitative models.RoleThey are seeking an exceptional individual to join the  firm as a Quantitative Analyst and help drive the build out of a new quant macro business. While prior finance experience is not required, you must possess a strong interest in learning about finance and global markets. You will have a research scientist mind-set;  be a self-starter, a creative and persevering deep thinker who is motivated by unsolved challenges. You will also focus on theorizing, reasoning, and investigating how to address various aspects of trading in the macro space. Quant Macro is a new business  line that aspires to be a strong contributor to their continued growth and success. Requirements: Ph.D. or M.S. degree from a leading university in a quantitative or highly analytical field (e.g. - Electrical Engineering, Physics, Computer Science, Mathematics,  Financial Engineering) Graduated at the top of your respective educational program, with excellent problem solving abilities, insight, and judgment with a strong attention to detail Demonstrated ability to program, preferably in Python, C++ or another leading  language Advanced practitioner-level knowledge of statistical inference, machine learning, software solvers, and/or mathematical optimization Strong communication skills; ability to express complex concepts in simple terms"|"Macro Quant Researcher - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Financial Services"
"Power stack modeling Machine Learning, Python, Data Scientist, Electricity, Python, R, Quantitative Analyst, commodities, power, trading, Responsibilities: • Apply machine learning applications and solutions to complex trading problems • Apply mathematical  and statistical analysis to develop trading and risk management strategies • Scrape data in order to make sense • Research and analytical skill on data sourcing • Strong Mathematical skills • Knowledge of the markets • Analyze large amounts of unstructured  data to support a data-driven decision-making process • Stack model experience i.e power and market price forecasting, use of statistical models to forecast day-ahead, market prices based on recent market prices Requirements: • Must have an advanced quantitative  degree (MS or PhD) from a top tier school • Must have working experience in the Energy or Electricity Markets, (Transmission Studies, Congestion Analysis, Distribution, Nodal Simulation Models) is preferred, not required • Master in Finance or Quantitative  field preferred • Industry experience within commodities being Power as the main area • Strong analytical skills, problem -solving mindset • Ability to communicate complex issues to Trading, both written and verbally, in a clear concise manner • Build power  stock modeling skills • Must have proven machine learning technology skills (Tensor Flow, XG Boost, dplyr, Pandas) • Must have strong programming in Python • Must be comfortable working with large amounts of data • Must have strong communication skills Location:  London Salary: £ Competitive + Bonus REFER A FRIEND/ COLLEAGUE If you're interested in this opportunity, forward you're CV to Alternatively, if you would like to know more information or have a confidential discussion please contact Shanaz Rob - call on +44  (0) for more details"|"Senior Quantitative Analyst - Stack Modeling - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Financial Services"
"Power stack modeling Machine Learning, Python, Data Scientist, Electricity, Python, R, Quantitative Analyst, commodities, Modelling. Must have power stack modeling experience. Responsibilities: • Apply machine learning applications and solutions to complex  trading problems • Apply mathematical and statistical analysis to develop trading and risk management strategies • Scrape data in order to make sense • Research and analytical skill on data sourcing • Strong Mathematical skills • Knowledge of the markets •  Analyze large amounts of unstructured data to support a data-driven decision-making process • Stack model experience i.e power and market price forecasting, use of statistical models to forecast day-ahead, market prices based on recent market prices Requirements:  • Must have an advanced quantitative degree (MS or PhD) from a top tier school • Must have working experience in the Energy or Electricity Markets, (Transmission Studies, Congestion Analysis, Distribution, Nodal Simulation Models) is preferred, not required  • Master in Finance or Quantitative field preferred • Industry experience within commodities being Power as the main area • Strong analytical skills, problem -solving mindset • Ability to communicate complex issues to Trading, both written and verbally, in  a clear concise manner • Build power stock modeling skills • Must have proven machine learning technology skills (Tensor Flow, XG Boost, dplyr, Pandas) • Must have strong programming in Python • Must be comfortable working with large amounts of data • Must  have strong communication skills Location: London Salary: £ Competitive + Bonus REFER A FRIEND/ COLLEAGUE If you're interested in this opportunity, forward you're CV to Alternatively, if you would like to know more information or have a confidential discussion  please contact Shanaz Rob - call on +44 (0) for more details"|"Senior Quantitative Analyst / Data Science- Commodity /Power - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Financial Services"
"We are currently working with a market leading prop trading company, who are looking to expand their Data Science team in London. There looking for someone who is very efficient with Python, someone who has a good understanding of how structure code and  to take into a production environment. The team is also going through an exciting transition at the moment and looking to move all their current infrastructure onto AWS and Redbricks. Requirements: • Excellent coding skills in Python and experience with taking  python into a production environment. • Good experience with AWS • Strong educational background in mathematics, computer science or any financial related degree. This is an excellent chance for you to join an exciting growing team within the finance space.  You will be reporting directly into the Lead Data Scientist and will have the opportunity to learn off senior members in the team. This Data Science team is working with new cutting edge technologies, so will give you great opportunity for you to enhance your  technical skills and progress within the team. To apply please contact "|"Quant/Python Developer Data Science Team - Systematic Trading - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Information Technology"
"Here at Fourier we are currently working with a Strat side Global Investment Bank. They are looking for a Mid to Senior level Data Scientist to work primarily on Python and SQL databases. You will be responsible for taking raw data from different data  sources, using advanced data science techniques in order to gain better insights into the data and then provide these insights to external clients and trading desks within the bank. Key Skills: Bachelor/Master degree or equivalent in Mathematics, Statistics,  Engineering, Computer Science Experience in data analytics, including transforming raw data into meaningful and actionable intelligence Good coding skills in Python with experience of data analysis & statistical modelling using industry standard tools. Statistical  competence (Bayesian Probability) Role Responsibility: Be a subject-matter expert in traditional statistical methods as well as new machine learning algorithms using programming languages such as Python, SQL. Delivering ideation, design, prototyping and deployment  of data science products, powered by scalable machine learning models End to end responsibility of the project, analysing raw data and distributing to the end user."|"Data Science - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Information Technology"
"Unique opportunity to progress your career as a GLP Study Director! As a senior member of a close-knit team your role will encompass both study management and hands-on laboratory work, undertaking a variety analyses of pharmaceutical, biological and environmental samples. In this role, you will have the opportunity to progress to Study Director where you will be accountable for the full life cycle of sponsor studies, from initial plans through to final report. You will ensure GLP compliance throughout, along with approving  study data and reporting. You will utilise your strong organisation skills, managing several projects at any one time, and employ your excellent communication and interpersonal skills liaising with clients, colleagues and external Principal Investigators. Ideal candidates will have a strong analytical chemistry background and significant experience working under GLP regulations, eager to progress their career as a Study Director. Candidates with existing Study Directing experience are also encouraged to apply! You will be rewarded with an enjoyable working environment, competitive pension and private healthcare scheme with genuine opportunities for career development, including progression into Line Management. Keywords: Senior Analyst, Study Analyst, Study Director, Chemist, Analyst, Analysis, Chemistry, environmental, soil, water, food, pharmaceutical, biological, sample analysis, GLP, GMP. GCP, good laboratory practice, Reading, Bracknell, London, VRS6997FP Follow VRS Recruitment on LinkedIn to view all our latest vacancies! Please note that by submitting your application to VRS Ltd your details will be registered with us so that we can contact you about suitable job opportunities now and in future. You may unsubscribe at any time by emailing us directly via our website. "|"Senior Scientist / GLP Study Director  - reed.co.uk"|"2021-03-23"|"Competitive salary"|"Reading"|"Permanent, full-time"|"VRS Recruitment"|"Recruitment consultancy"|"Information Technology"
"Nucleic Acid Amplification | NGS | PCR | Molecular Analysis Technologies | Sequencing | Diagnostics My client, the inventors of semiconductor-based next-generation sequencing (NGS) technology, are developing a revolutionary new NGS-based diagnostic platform in an easy-to-use, cartridge-based system designed to generate a clinically actionable result direct  from clinical specimen, in a matter of hours. They are currently looking to hire exceptional scientific talent to join their multi-disciplinary NGS platform development team. The successful candidate will become a senior member of the NGS Clonal Amplification Team, reporting to the Subsystem Lead and responsible for a subset of the team deliverables, comprising technology development of clonal DNA amplification performed on an integrated  circuit (chip). You will also be responsible for proactive interaction with other subsystems (including cartridge, instrument and integrated circuit teams) to ensure effective communication, proper alignment of input/output requirements and successful development and integration  of the sequencing protocol and chemistries into the automated platform process workflow. Key Responsibilities will include:  Performing laboratory experiments for technology development, involving molecular biology and biochemistry skills, and transferring results to a novel cartridge-based workflow.Independently driving a scientific study, setting goals, and determining a series of future experiments.Performing extensive literature research to aid one's own work.Management of a small team of research associates, providing technical leadership and being accountable for their professional development.Recommending innovative approaches, analysing your experimental data, and suggesting new strategies for the team.Qualifications & Experience Required:  Either PhD in Chemistry, Biochemistry, Molecular Biology or related field OR BSc in Chemistry, Biochemistry, Molecular Biology, or a related field with relevant industrial experience.Knowledge of NGS workflows.Broad development experience of molecular analysis technologies.Experience or the capability to manage Research Assistants.An innovative and pragmatic mindset, with excellent problem solving and analytical abilities.Effective administrative, organisational, communication and interpersonal skills.A positive attitude towards intellectual and time challenges.Desirable:  Direct NGS laboratory experience.Experience with nucleic acid amplification (PCR and non-PCR, including isothermal).Development experience with IVD or NGS systems. Microfluidics, cartridge, or instrument development experience.A background in the development of molecular diagnostic products for commercially relevant applications.Experience interacting with disciplines that may be outside of the candidate's area of expertise, such as engineering, software development and bioinformatics.Demonstrable creativity and innovation ideally evidenced by patent filings and relevant publications.If you think you match the skills listed above and are looking for a new challenge in the Biotech industry, then please apply with your CV or call Thomas Nash on +44 (0) for a completely confidential chat about your situation. "|"Senior Scientist - NGS - reed.co.uk"|"2021-03-22"|"£35,000 - £45,000 per annum"|"London"|"Permanent, full-time"|"Hays Specialist Recruitment Limited"|"Recruitment consultancy"|"Information Technology"
"Medical Devices, Health Start-Up, Novel Bioassay Development Your new companyMy client is a very well-funded medical devices start-up, aiming to become the world's leading consumer health tech brand. Founded by an experienced team of industry veterans, entrepreneurs, and scientists, they are making a difference to human health and wellbeing  by combining cutting-edge technology with a consumer-first approach and are now hiring to scale up their initial development team! Your new roleThe successful candidate will become a senior member of the Research & Development team, bringing their expertise of microarrays to the development and implementation of the clients' core technologies. Key responsibilities include: Identifying and developing suitable techniques, and apparatus, for the collection and analysis of biomedical assay dataTaking initiatives in the planning of researchWriting reports for submission to research sponsorsIdentifying, capturing, and recording IPAssisting with IP protectionAttending relevant team meetings, workshops, and conferences as necessaryDeveloping contacts and research collaborations and the wider communityWhat you'll need to succeed PhD in Chemistry, Physics, Engineering, Biochemistry or a closely related discipline, or equivalent research, industrial or commercial experience with appropriate molecular sciences.Experience with novel bioassay development and implementationExperience of quantitative bioassay data analysis and interpretationHigh level of knowledge/experience of/ with of biomedical statisticsDeep knowledge of chemical and biochemical mechanisms and processesDemonstrated ability to parse biological and biomedical literatureExperience with affinity-based reagents. e.g. antibodies, affibodies, DNAExperience of working as part of a research teamExperience with preparation of reports and documents.What you'll get in return Competitive base salary, bonus linked with performance and share options in a rapidly growing business30 days annual leave plus bank holidaysPrivate Medical insurance Online GP appointments, plus various well-being initiatives and discountsCity Bike to Hire Scheme & Tech SchemeA tax-efficient charity donation schemeRegular company socials & daily snacks.What you need to do nowIf most of the skills listed above sound like you and are looking for a new challenge in an exciting health start-up, then please click \"apply now\" with your CV or call Wycliffe Sserunkuuma on for a completely confidential chat about your situation. "|"Microarray Assay Scientist - reed.co.uk"|"2021-03-03"|"£40,000 - £65,000 per annum"|"London"|"Permanent, full-time"|"Hays Specialist Recruitment Limited"|"Recruitment consultancy"|"Engineering"
"Breakthrough NGS Device, Rapidly expanding Biotech Your new companyMy client is an ambitious Biotech pioneering molecular diagnostics, having successfully detected SARS-CoV-2 sequences with their revolutionary semiconductor-based next-generation sequencing (NGS) platform! Becoming the world's first rapid and direct response  diagnostic sequencing platform (and the FDA granting it a \"breakthrough\" device), they are currently looking to hire exceptional scientific talent to join their passionate multi-disciplinary NGS platform development team.Your new roleThe successful candidate will become a senior member of the Clonal Amplification team, reporting to the Subsystem Lead and contributing to the development of the sequencing technology, as well as performing molecular analysis. You will also responsible for  proactive interaction with other subsystems (including cartridge, instrument, and integrated circuit teams) to ensure effective communication, proper alignment of input/output requirements and successful development and integration of the sequencing protocol  and chemistries into the automated workflow. Key Responsibilities will include Performing laboratory experiments for technology development, involving molecular biology and biochemistry skills, and transferring results to a novel cartridge-based workflow.Independently driving scientific studies, setting goals, and determining future experiments.Performing extensive literature research to aid one's own work.Management of a small team of research associates, providing technical leadership and being accountable for their professional development.Recommending innovative approaches, analysing your experimental data, and suggesting new strategies for the team.Qualifications and Experience Required PhD in Chemistry, Biochemistry, Molecular Biology or related field OR BSc in Chemistry, Biochemistry, Molecular Biology, or a related field with relevant industrial experience.Working Knowledge of NGS workflows (experience with nucleic acid amplification (PCR and non-PCR) and/ or working with IVD systems are also welcomed).Broad experience developing molecular analysis technologies.Capability to mentor Research Assistants.An innovative and pragmatic mindset, with excellent problem solving and analytical abilities.Effective administrative, organisational, communication and interpersonal skills.A positive attitude towards intellectual and time challenges.Microfluidics, cartridge, or instrument development experience.What you need to do nowIf most of the skills listed above sound like you and are looking for a new challenge in the Biopharma industry, please click 'apply now' to forward an up-to-date copy of your CV, or call Wycliffe Sserunkuuma on for a completely confidential chat about your  situation. "|"Senior Scientist, NGS Clonal Amplification - reed.co.uk"|"2021-03-15"|"£40,000 - £60,000 per annum"|"London"|"Permanent, full-time"|"Hays Specialist Recruitment Limited"|"Recruitment consultancy"|"Information Technology"
"Excellent opportunity to join an expanding organisation based in London that provides specialist Biomarker solutions to the pharmaceutical industry. Responsibilities: Develop and validate a variety flow cytometry assays for various biological samples - Types of assay include immune cell phenotyping, activation assays, receptor occupancy, depletion assays, cytokine detection etc. Develop and validate further immunological assays for bioanalytical studies including ELISA, ELISpot, ECL etc. - Types of assay include PK, ADA (immunogenicity) & BiomarkerLab and equipment up-keep including maintenance, calibration and troubleshooting of the flow cytometerAnalysis and interpretation of experimental data using FACS Diva and FlowJo etc.Candidate Requirements: 3+ years’ experience with immunological assays e.g. Flow Cytometry, ELISA etc.Experience developing, validating, and troubleshooting assaysMammalian cell culture experience (ideally primary cell types)Awareness of industry regulations, GCP, GLP is desirableKey Words: Flow Cytometry, FACS, ELISA, ELISpot, ECL Beckman Coulter, CytoFlex, FACSCanto, FC500, LSRII, FACSArray, MoFlo, FACSCalibur, FCS Express, Diva software, FlowJo, MXP, CellQuest, R&D, method development, Lab Technician, Maintenance, Calibration,  Troublshooting, Regulations, GLP, GCP, Europe, England, South East, London  VRS6987CR Apply to VRS today to be considered for this highly rewarding opportunity! Follow VRS Recruitment on LinkedIn to view all our latest vacancies! Please note that by submitting your application to VRS Ltd your details will be registered with us so that we can contact you about suitable job opportunities now and in future. You may unsubscribe at any time by emailing us directly via our website. "|"Scientist/ Senior Scientist - Immunology - reed.co.uk"|"2021-03-24"|"£30,000 - £50,000 per annum"|"London"|"Permanent, full-time"|"VRS Recruitment"|"Recruitment consultancy"|"Engineering"
"About Us We want to help small businesses win. That's why we're here. We connect small business owners to investors - to create jobs, help families and power economies - because we believe that people are made to do more. And we want to help them. So,  we created the leading online marketplace for small business loans. Our investors have lent £8.1 billion in 110,000 loans to 77,000 small business owners. In a single year, we unlocked 115,000 jobs and contributed £6.5 billion to the global economy. There's  never been a better time to join! Be part of the team that changes everything. Let's build the place where small businesses can get the funding they need to win and leave a legacy behind, forever. This role sits within the \"Risk & Analytics\" team. The drivers  behind our platform - brilliant people working together to create, code, and build the next game changers. About the roleWould you describe yourself as a data fanatic? Do you have a passion for analysing data to help build the best decision models? Do you  love mentoring junior members of staff to bring out the best in them? If you answer yes to these questions then we're looking for you to apply! We are looking for a Decision Science Manager to help create these leading risk models. You'll help by: Building  the new generation of risk models Utilising the most innovative data sources and modelling techniques Being part of a diverse team of highly skilled data scientists Interacting with multiple parts of the business, and multiple stakeholders, to ensure your  models are providing optimal support Manage and mentor junior members of the team to help them achieve their full potential About You You are incredibly analytical with strong mathematical skills You have vast experience in a decision scientist or modeller  role, ideally from a company with cutting edge technology Expert level knowledge of R/Python Expert level knowledge of machine learning methods A real team player, with the ability to work in a team (despite the current remote challenges!) Super communication  skills, with the ability to communicate with multiple stakeholders across the business Collaborative and communicative, with the ability to work with different data scientists at different levels and stages of their career Why join us? We're gearing up for  our biggest chapter yet - and it's being driven by everyone. We think of ourselves as the career launchpad. A place to develop yourself, fast. Real work. Real experience. Real opportunities to collect skills. Think big remits and huge ownership to make great  things happen. Yes, it's target-driven and high-octane - but we like to play hard too. That's what makes us, us. Our vibrant culture is built around potential and creating a place where you can really be you. We keep it agile and open. All voices heard. Because  we believe great ideas come from everywhere. If you show skill and are willing, we'll back you all the way. This is the place for you to build something incredible. It's in our differences that we find our strengths. At Funding Circle, we celebrate and support  the differences that make you, you. We're proud to be an equal opportunity workplace and an affirmative action employer. We truly believe that diversity makes us better. We particularly encourage applications from applicants from underrepresented backgrounds.  We welcome applicants who may want to work flexibly. Want to Build The Incredible? We'd love to hear from you. Tech01 #LI-LN1"|"Decision Science Manager - reed.co.uk"|"2021-03-16"|"Competitive salary"|"London"|"Permanent, full-time"|"eFinancial Careers"|"Direct employer"|"Information Technology"
